"target_eB","target_eB_label","achieved_eB","n","scenario","method","reps","valid_reps","selected_q","common_q","decision_q","noise_q","TPR","FPR","Precision","F1","ARI","MSE_mu","MSE_kappa","MSE_eta","zero_support_refit_reps","completed_cell"
"0.025","2.5%","0.0242","1000","OBE5_equal_kappa","D-AGL","100","100","20","4","16","0","1","0.0217391304347826","0.8","0.888888888888889","0.936218614113409","4.12523856895483e-05","1.22386794496842","0.0675857281278557","0","True"
"0.025","2.5%","0.0242","1000","OBE5_equal_kappa","D-GL","100","100","20","4","16","0","1","0.0217391304347826","0.8","0.888888888888889","0.936218614113409","4.12605549196588e-05","1.22385591398471","0.0676014543593999","0","True"
"0.025","2.5%","0.0242","1000","OBE5_equal_kappa","D-L","100","100","199.45","4","16","179.45","1","0.997010869565217","0.0802206066683379","0.148526340218148","0.922606573758963","0.000409866714853889","5.44543473438173","0.677892948342927","0","True"
"0.025","2.5%","0.0242","1000","OBE5_equal_kappa","E-AGL","100","100","16.05","0","16","0.05","1","0.000271739130434783","0.996884735202492","0.998439937597504","0.936283845591249","0.000740413367900273","12.2378566822833","0.0544358928354752","0","True"
"0.025","2.5%","0.0242","1000","OBE5_equal_kappa","E-GL","100","100","17.03","0.01","16","1.02","1","0.00559782608695652","0.939518496770405","0.968816227671814","0.935941717628081","0.000747230599526147","11.914526028422","0.0697600231238557","0","True"
"0.025","2.5%","0.0242","1000","OBE5_equal_kappa","E-L","100","100","197.54","3.95","16","177.59","1","0.986630434782609","0.080996253923256","0.149854828135244","0.922657453103788","0.000417531975236346","5.30910695070571","0.677420617700388","0","True"
"0.025","2.5%","0.0254","1000","OBE5_heterogeneous_kappa","D-AGL","100","100","20.08","3.93","16","0.15","1","0.0221739130434783","0.796812749003984","0.886917960088692","0.937589736702602","5.22713225539535e-05","1.11382215668092","0.0661504158840683","0","True"
"0.025","2.5%","0.0254","1000","OBE5_heterogeneous_kappa","D-GL","100","100","20.09","3.92","16","0.17","1","0.0222282608695652","0.79641612742658","0.886672208367969","0.937592793660384","5.29430041600201e-05","1.11597662346508","0.0663679824554924","0","True"
"0.025","2.5%","0.0254","1000","OBE5_heterogeneous_kappa","D-L","100","100","199.51","4","16","179.51","1","0.997336956521739","0.0801964813793795","0.148484989095634","0.923098320925245","0.000480648947458291","5.77391723015728","0.669901183383054","0","True"
"0.025","2.5%","0.0254","1000","OBE5_heterogeneous_kappa","E-AGL","100","100","16.03","0","16","0.0300000000000001","1","0.00016304347826087","0.99812850904554","0.999063378083047","0.93787803001352","0.000182375690929539","1.39371480768048","0.051820647491198","0","True"
"0.025","2.5%","0.0254","1000","OBE5_heterogeneous_kappa","E-GL","100","100","17.12","0.03","16","1.09","1","0.00608695652173913","0.934579439252336","0.966183574879227","0.936841222392193","0.00019235378411012","1.35013489767479","0.0687770229613206","0","True"
"0.025","2.5%","0.0254","1000","OBE5_heterogeneous_kappa","E-L","100","100","197.39","3.93","16","177.46","1","0.985815217391304","0.0810578043467248","0.149960166830686","0.923096652409387","0.000481768385801052","5.70230118671105","0.669548792901634","0","True"
"0.025","2.5%","0.0242","300","OBE5_equal_kappa","D-AGL","100","100","47.89","4","16","27.8899999999999","1","0.173315217391304","0.334098976821883","0.500860854593833","0.916694429842452","0.000512380984444169","13.4988392493673","0.897003191563055","0","True"
"0.025","2.5%","0.0242","300","OBE5_equal_kappa","D-GL","100","100","36.88","4","16","16.88","1","0.113478260869565","0.433839479392625","0.605143721633888","0.92289249188435","0.000384736589802457","9.97012587793145","0.658812183985178","0","True"
"0.025","2.5%","0.0242","300","OBE5_equal_kappa","D-L","100","100","199.53","4","16","179.53","1","0.997445652173913","0.0801884428406756","0.148471210504338","0.887706913505183","0.00123170117760969","55.0393960719501","2.42833931798619","0","True"
"0.025","2.5%","0.0242","300","OBE5_equal_kappa","E-AGL","100","100","17.97","0.03","16","1.94","1","0.0107065217391304","0.890372843628269","0.942007653812187","0.929635486652077","0.000853371966906427","10.3910496984777","0.252603298775185","0","True"
"0.025","2.5%","0.0242","300","OBE5_equal_kappa","E-GL","100","100","17.85","0.08","16","1.77","1","0.010054347826087","0.896358543417367","0.945347119645495","0.930519262005992","0.00085167087817522","9.87055333105619","0.266765835788816","0","True"
"0.025","2.5%","0.0242","300","OBE5_equal_kappa","E-L","100","100","197.98","3.96","16","178.02","1","0.989021739130435","0.0808162440650571","0.149546686606225","0.889358187531236","0.00123489618931616","54.3732626421671","2.42183974866947","0","True"
"0.025","2.5%","0.0254","300","OBE5_heterogeneous_kappa","D-AGL","100","100","53.77","3.65","16","34.1200000000001","1","0.205271739130435","0.297563697228938","0.458649849505518","0.913951114289924","0.00070919824507654","16.6715513876848","0.992237883162621","0","True"
"0.025","2.5%","0.0254","300","OBE5_heterogeneous_kappa","D-GL","100","100","45.45","3.39","16","26.06","1","0.160054347826087","0.352035203520352","0.520748576078112","0.92468889269952","0.000603885843824807","14.0416827242705","0.813782064318052","0","True"
"0.025","2.5%","0.0254","300","OBE5_heterogeneous_kappa","D-L","100","100","199.63","4","16","179.63","1","0.997989130434783","0.0801482743074688","0.1484023558874","0.88650621337569","0.00141349914129369","60.1891266054044","2.42412260433604","0","True"
"0.025","2.5%","0.0254","300","OBE5_heterogeneous_kappa","E-AGL","100","100","18.23","0.02","16","2.21","1","0.0121195652173913","0.877674163466813","0.9348524685948","0.930933616810637","0.000327167424211253","4.13008096624849","0.259683353513223","0","True"
"0.025","2.5%","0.0254","300","OBE5_heterogeneous_kappa","E-GL","100","100","18.91","0.07","16","2.84","1","0.0158152173913043","0.846113167636171","0.916642795760527","0.930850144125554","0.000346539136304056","4.36537440999247","0.296579089109267","0","True"
"0.025","2.5%","0.0254","300","OBE5_heterogeneous_kappa","E-L","100","100","197.99","3.93","16","178.06","1","0.989076086956522","0.0808121622304157","0.149539698116734","0.888251226816465","0.00141147787850379","59.342386894657","2.41658317877274","0","True"
"0.05","5.0%","0.0458","1000","OBE5_equal_kappa","D-AGL","100","100","20","4","16","0","1","0.0217391304347826","0.8","0.888888888888889","0.879400945271266","4.3269122866703e-05","1.34941132878509","0.0715294174750764","0","True"
"0.05","5.0%","0.0458","1000","OBE5_equal_kappa","D-GL","100","100","20","4","16","0","1","0.0217391304347826","0.8","0.888888888888889","0.879277341811517","4.33011815772521e-05","1.34909949890882","0.071593908946581","0","True"
"0.05","5.0%","0.0458","1000","OBE5_equal_kappa","D-L","100","100","199.53","4","16","179.53","1","0.997445652173913","0.0801884428406756","0.148471210504338","0.852930954531926","0.000428524450617935","5.97185557830675","0.720717210212823","0","True"
"0.05","5.0%","0.0458","1000","OBE5_equal_kappa","E-AGL","100","100","16.09","0","16","0.09","1","0.000489130434782609","0.994406463642014","0.997195387971331","0.88046399544729","0.00175271493916093","66.9991886377096","0.0586192098188728","0","True"
"0.05","5.0%","0.0458","1000","OBE5_equal_kappa","E-GL","100","100","17.09","0.03","16","1.06","1","0.00592391304347826","0.93622001170275","0.967059534602599","0.880167873787901","0.00174852130604209","65.3676003537202","0.0738752890051711","0","True"
"0.05","5.0%","0.0458","1000","OBE5_equal_kappa","E-L","100","100","197.53","3.94","16","177.59","1","0.986576086956522","0.0810003543765504","0.149861846110617","0.852877407902841","0.000452068023086459","5.72902146313327","0.719984488795355","0","True"
"0.05","5.0%","0.0454","1000","OBE5_heterogeneous_kappa","D-AGL","100","100","20","4","16","0","1","0.0217391304347826","0.8","0.888888888888889","0.878426885838582","5.0708655954332e-05","1.16831812583051","0.067997692977639","0","True"
"0.05","5.0%","0.0454","1000","OBE5_heterogeneous_kappa","D-GL","100","100","20","4","16","0","1","0.0217391304347826","0.8","0.888888888888889","0.878474794886612","5.07355225923347e-05","1.16602492697997","0.0680164878095333","0","True"
"0.05","5.0%","0.0454","1000","OBE5_heterogeneous_kappa","D-L","100","100","199.71","4","16","179.71","1","0.998423913043478","0.0801161684442442","0.148347318158639","0.849415307471787","0.000514636318474643","6.45285792575045","0.722518521598208","0","True"
"0.05","5.0%","0.0454","1000","OBE5_heterogeneous_kappa","E-AGL","100","100","16.06","0","16","0.0599999999999999","1","0.000326086956521739","0.99626400996264","0.99812850904554","0.879682657231518","0.00137686737222013","33.066052453068","0.0555671945933491","0","True"
"0.05","5.0%","0.0454","1000","OBE5_heterogeneous_kappa","E-GL","100","100","17.14","0.03","16","1.11","1","0.00619565217391304","0.933488914819137","0.965600482800241","0.879556353095647","0.00137868229630921","31.9955277775066","0.0726793933643017","0","True"
