"scenario","method","reps","valid_reps","error_reps","zero_support_refit_reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","penalty_group","penalty_adaptive","common_false_selection_rate","decision_selection_rate","noise_false_selection_rate","objective","n_decrease","min_objective_diff","line_search_halving","adaptive_penalty","adaptive_gamma","adaptive_eps","adaptive_weight_min","adaptive_weight_median","adaptive_weight_max","rep","n","d","K_true","common_q","decision_q","decision_q_per_component","noise_q","true_q","target_angle_deg","mu_pairwise_angle_mean","mu_pairwise_angle_min","mu_pairwise_angle_max","kappa_true_min","kappa_true_max","kappa_true_mean","kappa_true_ratio","common_eta_value"
"S5_small_angle_heterogeneous_kappa_mild","D-L",50,50,0,0,4,18.0626968594873,NA,NA,NA,0.0310050464810449,248865.97438886,NA,0.98,38.72,16,198.56,1,0.992173913043478,0.0805955614088557,0.149166702038327,NA,NA,NA,NA,0.00180280583625234,112.40549803287,4.39540824529412,53.2297596621098,797.24,-492224.809959104,-488000.779421798,0,0,1,1,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,1000,200,4,4,16,4,180,16,30,29.4687235985672,19.3371188784566,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5_small_angle_heterogeneous_kappa_mild","D-GL",50,50,0,0,4,NA,0.0625802803795453,NA,NA,0.0272502322888667,248249.29589474,NA,0.88,50.82,16,18.18,0.2625,0.0759782608695652,0.199681419539776,0.283848424338502,NA,NA,NA,NA,0.000994951476240573,749.810631095989,5.36970762647198,52.1356478809837,75.72,-495975.536559755,-495574.34796876,1,0,1,0.2625,0.0554444444444444,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,16,4,180,16,30,29.4687235985672,19.3371188784566,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5_small_angle_heterogeneous_kappa_mild","D-AGL",50,50,0,0,4,NA,0.157246334130537,NA,NA,0.0390588222470175,248264.074810928,NA,0.94,36.12,16,20.64,0.305,0.0856521739130435,0.183579575449912,0.342015246604751,NA,NA,NA,NA,0.000880682263053041,345.093951718154,3.31771913060467,50.0232691966416,85.56,-495937.122080187,-495483.798046305,1,1,1,0.305,0.0653333333333333,NA,NA,NA,NA,1,1,1e-06,0.0828331998935439,1,6.0999234620409,25.5,1000,200,4,4,16,4,180,16,30,29.4687235985672,19.3371188784566,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5_small_angle_heterogeneous_kappa_mild","E-L",50,50,0,0,4,NA,NA,NA,0.334062059875431,0.0287388695919506,248621.343037433,NA,0.98,29.14,16,193.48,0.98875,0.96554347826087,0.0819264144946474,0.151281627403694,NA,NA,NA,NA,0.00219196992789488,121.130851210487,4.69098865179746,52.508306625801,776.92,-491875.912843519,-487759.544115101,0,0,0.945,0.98875,0.966,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,16,4,180,16,30,29.4687235985672,19.3371188784566,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5_small_angle_heterogeneous_kappa_mild","E-GL",50,0,0,0,4,NA,NA,NA,2.16595607330672,NA,NA,NA,NA,NA,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,248268.971032201,0,0.00373239551787265,0,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,16,4,180,16,30,29.4687235985672,19.3371188784566,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5_small_angle_heterogeneous_kappa_mild","E-AGL",50,1,0,0,4,NA,NA,NA,5.17387716724065,0.0148975775961287,243975.850213786,NA,1,10,16,0.02,0.00125,0,1,0.117647058823529,NA,NA,NA,NA,0.00936256456660768,1539.06532086476,1.03960377887631,5.80044320015847,11,-487875.715119504,-487817.433628472,1,1,0,0.00125,0,248266.907560917,0,0.00381378657291453,0,1,1,1e-06,0.352717043714461,1,8.23068921559133,25.5,1000,200,4,4,16,4,180,16,30,29.4687235985672,19.3371188784566,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
