"scenario","method","reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","common_selection_rate","specific_selection_rate","noise_selection_rate","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"specific_effect_common6_specific4","Rossi path BIC",100,4,30.0501278646977,NA,NA,NA,0.679895357466799,97540.9906490713,97114.4558381299,2.01,22,98.52,1,0.981025641025641,0.223413383023922,0.365202133450549,1,0.652361111111111,0.148708093632372,0.258263423670286,0.000153101256504176,2.98864030781111,0.314353853931203,58.6605715740826,277.85,-193162.661493878,-191883.114957701,1,1,0.981025641025641,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Rossi path BIC + refit",100,4,30.0501278646977,NA,NA,NA,0.65303118029393,97574.5279122412,NA,14.33,22,98.52,1,0.981025641025641,0.223413383023922,0.365202133450549,NA,NA,NA,NA,0.000326178005734121,3.42748741502056,0.594088949240028,58.7346741145427,397.08,-192406.124358304,-190577.503380852,1,1,0.981025641025641,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Separate 2D path/grid BIC",100,4,NA,62.7460366336028,1.70551512615497,NA,0.683556195307396,97465.2436444663,96289.9081335415,2,22,86.46,1,0.826410256410256,0.257566369510223,0.408739343717171,1,0.358444444444444,0.250114946807335,0.396587671662157,8.35627588365702e-05,8.76186562769858,0.179390330151232,56.0890743802031,172.04,-193742.077070737,-192949.803591939,1,1,0.826410256410256,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Separate 2D path/grid BIC + refit",100,4,NA,62.7460366336028,1.70551512615497,NA,0.657234413983606,97562.9011160805,NA,17.99,22,86.46,1,0.826410256410256,0.257566369510223,0.408739343717171,NA,NA,NA,NA,0.000302299993203006,3.06433285939435,0.552473839854302,58.5985940296669,348.84,-192716.100880641,-191109.633312961,1,1,0.826410256410256,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Eta centered path BIC",100,4,NA,NA,NA,1.77361105951636,0.624704390231576,97362.2213052482,96994.761320295,22.49,22,24.75,0.994090909090909,0.0369230769230769,0.889852048659767,0.937350535356873,NA,NA,NA,NA,0.000291181564536349,14.4849414939373,0.424192416786928,58.467562468692,177.25,-193500.042987297,-192683.77657183,1,0.991875,0.0369230769230769,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Eta centered path BIC + refit",100,4,NA,NA,NA,1.77361105951636,0.686214996713836,97423.6495294291,NA,24.62,22,24.75,0.994090909090909,0.0369230769230769,0.889852048659767,0.937350535356873,NA,NA,NA,NA,0.000102098501958704,1.90092084050923,0.18541061056267,58.0403388351986,102,-194142.708020402,-193672.980661431,1,0.991875,0.0369230769230769,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
