"scenario","method","reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","common_selection_rate","specific_selection_rate","noise_selection_rate","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"specific_effect_common6_specific4","Rossi path BIC",100,4,29.5060417069244,NA,NA,NA,0.393799405451972,97826.9865923876,97418.1194516451,4.63,22,98.07,1,0.97525641025641,0.22458504882342,0.366725005091593,0.98375,0.650555555555556,0.14869029429371,0.25713903855868,0.000465617811758481,53.5704676453731,1.28846994889676,61.0067166695742,276.55,-193743.633462373,-192470.073647438,1,1,0.97525641025641,50.5,1000,100,4,6,4,0.25,40,0.96,30,90,3
"specific_effect_common6_specific4","Rossi path BIC + refit",100,4,29.5060417069244,NA,NA,NA,0.367797684596959,97874.3080310609,NA,48.66,22,98.07,1,0.97525641025641,0.22458504882342,0.366725005091593,NA,NA,NA,NA,0.00087812198871542,78.4735394929464,2.35129190447998,61.227839346469,395.28,-193018.118555446,-191197.786884328,1,1,0.97525641025641,50.5,1000,100,4,6,4,0.25,40,0.96,30,90,3
"specific_effect_common6_specific4","Separate 2D path/grid BIC",100,4,NA,44.5213513481781,0.400484974361781,NA,0.40145063565004,97780.3461422106,97132.1883404824,7.14,22,93.5,0.998636363636364,0.917051282051282,0.23624477231433,0.381702649780883,0.98225,0.478472222222222,0.195721450727619,0.323666242233188,0.000288911780386507,60.7429495501726,0.935269905424064,58.9746345746628,214.54,-194078.702466868,-193090.709255167,1,0.998125,0.917051282051282,50.5,1000,100,4,6,4,0.25,40,0.96,30,90,3
"specific_effect_common6_specific4","Separate 2D path/grid BIC + refit",100,4,NA,44.5213513481781,0.400484974361781,NA,0.367239060125742,97866.1804442107,NA,57.5,22,93.5,0.998636363636364,0.917051282051282,0.23624477231433,0.381702649780883,NA,NA,NA,NA,0.000731010262287221,66.8068430590122,1.96727992229056,60.6395323352379,377,-193128.137148245,-191391.987988128,1,0.998125,0.917051282051282,50.5,1000,100,4,6,4,0.25,40,0.96,30,90,3
"specific_effect_common6_specific4","Eta centered path BIC",100,4,NA,NA,NA,1.69263388198979,0.358461565939989,97624.9423537274,-118879.282020513,45.25,22,32.13,0.812727272727273,0.182692307692308,0.621220460350787,0.682267393869951,NA,NA,NA,NA,0.000542926929888148,4999342087.87611,33516305.5393671,5062.1589917454,199.39,-193872.547382378,-192954.322498994,1,0.7425,0.182692307692308,50.5,1000,100,4,6,4,0.25,40,0.96,30,90,3
"specific_effect_common6_specific4","Eta centered path BIC + refit",100,4,NA,NA,NA,1.69263388198979,0.398934626394864,97703.6113138258,NA,39.34,22,32.13,0.812727272727273,0.182692307692308,0.621220460350787,0.682267393869951,NA,NA,NA,NA,0.000682143858948916,4999450139.14255,33517437.4036539,5062.19088194037,131.52,-194498.71465336,-193893.042670499,1,0.7425,0.182692307692308,50.5,1000,100,4,6,4,0.25,40,0.96,30,90,3
