"target_eB","achieved_eB","n","scenario","method","reps","valid_reps","selected_q","common_q","decision_q","noise_q","TPR","FPR","Precision","F1","ARI","MSE_mu","MSE_kappa","MSE_eta","zero_support_refit_reps","elapsed_sec"
0.025,0.0242,1000,"equal_kappa","E-GL",50,50,17.02,0.02,16,1,1,0.006,0.94,0.969,0.935,0.001,12.237,0.069,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","D-AGL",50,50,20.06,3.9,16,0.16,1,0.022,0.798,0.887,0.935,0,1.044,0.065,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","D-GL",50,50,20.04,3.86,16,0.18,1,0.022,0.798,0.888,0.935,0,1.05,0.065,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","E-AGL",50,50,16.04,0,16,0.04,1,0,0.998,0.999,0.935,0,1.48,0.051,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","E-GL",50,50,17.2,0.04,16,1.16,1,0.007,0.93,0.964,0.934,0,1.412,0.07,0,4044.46
0.05,0.0458,300,"equal_kappa","D-AGL",50,50,63.8,4,16,43.8,1,0.26,0.251,0.401,0.835,0.001,21.239,1.268,0,2527.349
0.05,0.0458,300,"equal_kappa","D-GL",50,50,41.8,4,16,21.8,1,0.14,0.383,0.554,0.863,0,12.611,0.78,0,2527.349
0.05,0.0458,300,"equal_kappa","E-AGL",50,50,16.76,0,16,0.76,1,0.004,0.955,0.977,0.875,0.002,56.269,0.231,0,2527.349
0.05,0.0458,300,"equal_kappa","E-GL",50,50,17.3,0.04,16,1.26,1,0.007,0.925,0.961,0.871,0.002,53.651,0.264,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","D-AGL",50,50,70.8,4,16,50.8,1,0.298,0.226,0.369,0.814,0.001,34.845,1.533,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","D-GL",50,50,44.06,4,16,24.06,1,0.152,0.363,0.533,0.853,0.001,15.226,0.857,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","E-AGL",50,50,18.24,0.04,16,2.2,1,0.012,0.877,0.935,0.868,0.002,26.23,0.288,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","E-GL",50,50,17.94,0.1,16,1.84,1,0.011,0.892,0.943,0.868,0.002,24.349,0.303,0,2527.349
0.05,0.0458,1000,"equal_kappa","D-AGL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.878,0,1.294,0.07,0,3962.33
0.05,0.0458,1000,"equal_kappa","D-GL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.878,0,1.294,0.07,0,3962.33
0.05,0.0458,1000,"equal_kappa","E-AGL",50,50,16.12,0,16,0.12,1,0.001,0.993,0.996,0.879,0.002,67.761,0.058,0,3962.33
0.05,0.0458,1000,"equal_kappa","E-GL",50,50,17.04,0,16,1.04,1,0.006,0.939,0.969,0.879,0.002,67.027,0.072,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","D-AGL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.875,0,1.069,0.067,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","D-GL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.875,0,1.067,0.067,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","E-AGL",50,50,16.06,0,16,0.06,1,0,0.996,0.998,0.876,0.001,33.972,0.056,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","E-GL",50,50,17.3,0.02,16,1.28,1,0.007,0.925,0.961,0.876,0.001,32.906,0.075,0,3962.33
0.1,0.1124,300,"equal_kappa","D-AGL",50,50,51.72,4,15.92,31.8,0.995,0.195,0.308,0.47,0.631,0.001,25.528,1.337,0,2999.871
0.1,0.1124,300,"equal_kappa","D-GL",50,50,33.48,4,15.94,13.54,0.996,0.095,0.476,0.644,0.671,0,414.544,2.736,0,2999.871
