"scenario","method","reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","common_selection_rate","specific_selection_rate","noise_selection_rate","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"specific_effect_common6_specific4","Rossi path BIC",20,4,28.6499481859549,NA,NA,NA,0.684797810911577,97505.9993120753,97095.6238309014,2.05,22,98.8,1,0.984615384615385,0.222712725296304,0.36428279634873,1,0.660694444444444,0.145476471483199,0.253708352256252,0.000148663740940829,2.27317526312041,0.306086593165863,58.4306150455438,280.85,-193071.955554048,-191778.593507314,1,1,0.984615384615385,10.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Rossi path BIC + refit",20,4,28.6499481859549,NA,NA,NA,0.653321615510185,97537.3755034354,NA,15.65,22,98.8,1,0.984615384615385,0.222712725296304,0.36428279634873,NA,NA,NA,NA,0.000326252002561573,2.66882720620495,0.581402936991763,58.4671592985262,398.2,-192324.08285478,-190490.30408672,1,1,0.984615384615385,10.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Separate 2D path/grid BIC",20,4,NA,57.452058974788,1.84192951829522,NA,0.683963597466563,97436.2773640872,96291.3838434606,2,22,89.45,1,0.86474358974359,0.247712639603358,0.396592324969043,1,0.389583333333333,0.230728256413743,0.372629954421866,8.35956144406171e-05,9.87648187198016,0.184921287993459,55.7689257575375,183.25,-193606.708573301,-192762.811136719,1,1,0.86474358974359,10.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Separate 2D path/grid BIC + refit",20,4,NA,57.452058974788,1.84192951829522,NA,0.656692982718477,97529.0513902389,NA,16.55,22,89.45,1,0.86474358974359,0.247712639603358,0.396592324969043,NA,NA,NA,NA,0.000309867667192348,2.48971265602774,0.553332333360839,58.3646378974735,360.8,-192565.784675821,-190904.239272716,1,1,0.86474358974359,10.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Eta centered path BIC",20,4,NA,NA,NA,1.76709631424174,0.623469413584698,97325.8868798071,96959.6819922319,20.35,22,24.55,0.995454545454545,0.033974358974359,0.899224109099297,0.943050544181714,NA,NA,NA,NA,0.000285257618416277,14.0166451730959,0.41531052852907,58.3060040984763,176.65,-193431.518789582,-192618.015476227,1,0.99375,0.033974358974359,10.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"specific_effect_common6_specific4","Eta centered path BIC + refit",20,4,NA,NA,NA,1.76709631424174,0.685994841886726,97387.2345275722,NA,23.7,22,24.55,0.995454545454545,0.033974358974359,0.899224109099297,0.943050544181714,NA,NA,NA,NA,9.79764459716147e-05,1.77046428545911,0.174137609064482,57.9086882446894,101.2,-194075.404220911,-193609.360998089,1,0.99375,0.033974358974359,10.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
