"scenario","method","reps","valid_reps","error_reps","zero_support_refit_reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","penalty_group","penalty_adaptive","common_false_selection_rate","decision_selection_rate","noise_false_selection_rate","objective","n_decrease","min_objective_diff","line_search_halving","adaptive_penalty","adaptive_gamma","adaptive_eps","adaptive_weight_min","adaptive_weight_median","adaptive_weight_max","rep","n","d","K_true","common_q","decision_q","decision_q_per_component","noise_q","true_q","target_angle_deg","mu_pairwise_angle_mean","mu_pairwise_angle_min","mu_pairwise_angle_max","kappa_true_min","kappa_true_max","kappa_true_mean","kappa_true_ratio","common_eta_value"
"S5N_dense_decision_small_angle_heterogeneous_kappa_mild","D-L",50,50,0,0,4,18.9440207143395,NA,NA,NA,0.0231309134588422,248860.162342989,NA,0.92,36.16,80,198.52,0.99375,0.991833333333333,0.400474560759313,0.570868008626717,NA,NA,NA,NA,0.00182394059486662,113.940804530092,4.49920141807518,53.3821864714544,797.08,-492214.291108207,-487991.108301679,0,0,1,0.99375,0.991551724137931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,1000,200,4,4,80,20,116,80,30,29.4687235985673,19.3371188784568,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5N_dense_decision_small_angle_heterogeneous_kappa_mild","D-GL",50,50,0,0,4,NA,0.0530746735880042,NA,NA,0.00116563956392363,248220.799619977,NA,0.76,58.32,80,16.56,0.08775,0.0795,0.330965037874507,0.170070097890977,NA,NA,NA,NA,0.00106620700245907,197.465779226614,3.09599601141493,50.3673623621549,69.24,-495963.306264438,-495596.450769978,1,0,1,0.08775,0.0477586206896552,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,80,20,116,80,30,29.4687235985673,19.3371188784568,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5N_dense_decision_small_angle_heterogeneous_kappa_mild","D-AGL",50,50,0,0,4,NA,0.0936925713735449,NA,NA,0.00480682785643186,248222.928431375,NA,0.74,46.38,80,16.8,0.0935,0.0776666666666667,0.293277267119618,0.201430453777435,NA,NA,NA,NA,0.00105720215384294,483.094932813399,4.4174775113932,51.4448705527345,70.2,-495960.932442165,-495588.990563033,1,1,1,0.0935,0.0458620689655172,NA,NA,NA,NA,1,1,1e-06,0.0838872931351989,1,5.84806101842911,25.5,1000,200,4,4,80,20,116,80,30,29.4687235985673,19.3371188784568,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5N_dense_decision_small_angle_heterogeneous_kappa_mild","E-L",50,50,0,0,4,NA,NA,NA,0.395478334214742,0.0248435763033624,248526.10394009,NA,0.98,29.44,80,188.22,0.9485,0.936166666666667,0.403215696493872,0.56534066831231,NA,NA,NA,NA,0.00231807328917334,114.673865047205,4.69290980934501,52.0332945801116,755.88,-491830.773819902,-487825.881688876,0,0,0.925,0.9485,0.936551724137931,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,80,20,116,80,30,29.4687235985673,19.3371188784568,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5N_dense_decision_small_angle_heterogeneous_kappa_mild","E-GL",50,0,0,0,4,NA,NA,NA,1.36794848702789,NA,NA,NA,NA,NA,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,248266.052670441,0,0.00273271750251297,0,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,80,20,116,80,30,29.4687235985673,19.3371188784568,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
"S5N_dense_decision_small_angle_heterogeneous_kappa_mild","E-AGL",50,3,0,0,4,NA,NA,NA,2.39937349981363,0.000736515361801376,243970.334354667,NA,1,12.6666666666667,80,0.06,0.00025,0.000333333333333333,0.333333333333333,0.0246913580246914,NA,NA,NA,NA,0.00990977849318977,1642.26265579195,1.12741532929451,4.5134272551661,11,-487864.683401265,-487806.401910233,1,1,0,0.00025,0.000344827586206897,248267.698445004,0,0.00375427257708036,0,1,1,1e-06,0.387631340034885,1,7.63822707233681,25.5,1000,200,4,4,80,20,116,80,30,29.4687235985673,19.3371188784568,38.490857350062,43,47,45,1.09302325581395,21.2662715365844
