"method","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","scenario","rep","n","d","K_true","q_active_common","mu_pairwise_cos_target","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"Separate 2D path/grid BIC",4,NA,67.6825221378465,0,NA,0.575907743659041,97651.3415101661,96775.0417608427,TRUE,2,10,77,1,0.744444444444444,0.12987012987013,0.229885057471264,1,0.247222222222222,0.310077519379845,0.473372781065089,0.000107896736671724,0.751950645925299,0.177375001529677,58.1310303804723,132,-194390.859323507,-193782.976858956,"controlled_concdom_common_support",19,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC + refit",4,NA,67.6825221378465,0,NA,0.505980759550288,97745.171656957,NA,TRUE,85,10,77,1,0.744444444444444,0.12987012987013,0.229885057471264,NA,NA,NA,NA,0.000402475414053955,7.114611942103,0.753072114460032,59.4245394881319,311,-193342.03142215,-191909.823494308,"controlled_concdom_common_support",19,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC",4,NA,NA,NA,1.51934240394831,0.477772319289623,97569.9554711331,97324.9087165064,TRUE,23,10,17,1,0.0777777777777778,0.588235294117647,0.740740740740741,NA,NA,NA,NA,0.000255789812886102,107.83536408046,0.957981093904466,64.2581521024907,154,-194076.116629303,-193366.920420661,"controlled_concdom_common_support",19,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC + refit",4,NA,NA,NA,1.51934240394831,0.515548051359907,97607.2404759686,NA,TRUE,58,10,17,1,0.0777777777777778,0.588235294117647,0.740740740740741,NA,NA,NA,NA,0.000126213124122423,19.0871778113497,0.341715716486602,60.9825843428154,71,-194724.03032713,-194397.063243924,"controlled_concdom_common_support",19,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC",4,33.5226947491165,NA,NA,NA,0.556276488231584,97817.1582924841,97331.2492578922,TRUE,2,10,99,1,0.988888888888889,0.101010101010101,0.18348623853211,1,0.566666666666667,0.163934426229508,0.28169014084507,0.000188627074062852,1.68576893159995,0.332781683115355,58.3493663875356,247,-193928.10103106,-192790.623995121,"controlled_concdom_common_support",20,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC + refit",4,33.5226947491165,NA,NA,NA,0.508483513589528,97878.0905565982,NA,TRUE,97,10,99,1,0.988888888888889,0.101010101010101,0.18348623853211,NA,NA,NA,NA,0.000648093275797741,10.447929912397,1.10907588899799,59.5388271183133,399,-192999.986756882,-191162.523852673,"controlled_concdom_common_support",20,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC",4,NA,44.4420821080679,0,NA,0.561610786651022,97787.5360266989,97178.7957379345,TRUE,2,10,94,1,0.933333333333333,0.106382978723404,0.192307692307692,1,0.413888888888889,0.211640211640212,0.349344978165939,0.000204352767785444,0.4889542008384,0.277023555166675,57.0415692759977,192,-194248.783039833,-193364.590364124,"controlled_concdom_common_support",20,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC + refit",4,NA,44.4420821080679,0,NA,0.509035537547313,97873.065755534,NA,FALSE,100,10,94,1,0.933333333333333,0.106382978723404,0.192307692307692,NA,NA,NA,NA,0.000795619029896931,8.2370653323626,1.25877760065818,58.8979404202332,379,-193128.092260334,-191382.732759844,"controlled_concdom_common_support",20,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC",4,NA,NA,NA,1.83069094178518,0.525563531119423,97643.8357011238,97367.8513590709,TRUE,28,10,16,1,0.0666666666666667,0.625,0.769230769230769,NA,NA,NA,NA,0.000202683132858662,121.716178520935,0.986592859216106,63.4786223263452,151,-194244.600355121,-193549.219657037,"controlled_concdom_common_support",20,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC + refit",4,NA,NA,NA,1.83069094178518,0.594819220130486,97705.1609547397,NA,TRUE,58,10,16,1,0.0666666666666667,0.625,0.769230769230769,NA,NA,NA,NA,0.000106609728201915,1.63364109817417,0.227740481777446,57.6004509600678,67,-194947.502305788,-194638.955903326,"controlled_concdom_common_support",20,1000,100,4,10,0.95,0.95,25,100,4
