"method","beta","lambda_eta","lambda_mu","lambda_kappa","ARI","loglik","converged","iter","nnz_fraction","selected_q","TPR","FPR","Precision","F1","mu_contrast_norm","eta_contrast_norm","mu_topq_recall","eta_topq_recall","kappa_low_hat","kappa_high_hat","kappa_ratio_hat","MSE_mu","MSE_kappa","MSE_eta_contrast","df","BIC","EBIC","scenario","rep","n","d","q","mu_cos","kappa_low","kappa_high","true_eta_contrast_norm"
"Eta path BIC",NA,0.83610701757194,NA,NA,0.429766403549121,90622.2864061191,TRUE,8,0.16,16,1,0.0666666666666667,0.625,0.769230769230769,0.157991218915719,16.4794589085749,0.6,1,22.7352918348933,38.5372738145203,1.69504196798453,0.000205625013517767,4.81069465786107,0.330579976346149,117,-180436.365444597,-179897.560532837,"weak_concentration",2,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.83610701757194,NA,NA,0.403900206669987,90601.2872553816,TRUE,7,0.16,16,1,0.0666666666666667,0.625,0.769230769230769,0.248304036734266,21.3670263322309,0.4,1,20.6184580650609,40.7371935657127,1.97576333968174,0.000188947219928537,0.462972365783522,0.459404226607893,33,-180974.618586557,-180822.647970419,"weak_concentration",2,1000,100,10,1,20,40,20
"Rossi path BIC",63.5486660040879,NA,NA,NA,0.386273185162242,90551.4405654299,TRUE,2,0.45,45,1,0.388888888888889,0.222222222222222,0.363636363636364,0.117987889629456,21.3517706643609,0.6,1,21.660523039557,42.708558697585,1.97172333371589,6.42449162059539e-05,5.04681349158155,0.16013385377502,60,-180688.415814121,-180412.105602962,"weak_concentration",3,1000,100,10,1,20,40,20
"Rossi path BIC + refit",63.5486660040879,NA,NA,NA,0.321949106828526,90583.6421688564,TRUE,8,0.45,45,1,0.388888888888889,0.222222222222222,0.363636363636364,0.265883202109758,22.4756179777245,0.1,1,21.9341339940318,42.8784804137173,1.95487455421693,0.00026536075331892,6.01326189951182,0.70778591802826,91,-180538.678607325,-180119.608120401,"weak_concentration",3,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,64.6323810757958,0,0.386273077914386,90550.5774915434,TRUE,2,0.44,44,1,0.377777777777778,0.227272727272727,0.37037037037037,0.117085690951548,21.3251080888554,0.6,1,21.6252602688753,42.6518053201835,1.97231408037993,6.30984416310122e-05,4.83677119886891,0.156934085431101,58,-180700.505176906,-180433.405306118,"weak_concentration",3,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,64.6323810757958,0,0.333420352502255,90582.3755138272,TRUE,8,0.44,44,1,0.377777777777778,0.227272727272727,0.37037037037037,0.26308797342218,22.4063827860521,0,1,21.8790094567149,42.7894674716776,1.95573147661605,0.000260859616038515,5.65590265698567,0.690611836328724,89,-180549.960807825,-180140.100661272,"weak_concentration",3,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.973921230823441,NA,NA,0.231570932129183,90540.2031196212,TRUE,5,0.12,12,1,0.0222222222222222,0.833333333333333,0.909090909090909,0.0999571252303732,16.8292228990119,0.9,1,25.1400988991244,41.6555304648641,1.65693582320454,0.00012564215111206,14.5806989064365,0.22418346351785,113,-180299.829892717,-179779.445661701,"weak_concentration",3,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.973921230823441,NA,NA,0.333423686701624,90528.60872361,TRUE,24,0.12,12,1,0.0222222222222222,0.833333333333333,0.909090909090909,0.126448108988136,21.5738834408914,0.8,1,22.1491568527563,43.3641333732398,1.95782321022497,5.86493125994229e-05,7.96813426534772,0.191225779234644,25,-180884.523565246,-180769.394310596,"weak_concentration",3,1000,100,10,1,20,40,20
"Rossi path BIC",39.4220162165536,NA,NA,NA,0.347435718627128,90508.2813961204,TRUE,2,0.75,75,1,0.722222222222222,0.133333333333333,0.235294117647059,0.21360661143805,19.6810702555187,0.5,1,19.4722009456973,38.2696206334996,1.9653464310595,0.000170075919579666,1.6363922968665,0.356389362424854,95,-180360.326040737,-179922.834873069,"weak_concentration",4,1000,100,10,1,20,40,20
"Rossi path BIC + refit",39.4220162165536,NA,NA,NA,0.338054038552796,90535.7332634009,TRUE,11,0.75,75,1,0.722222222222222,0.133333333333333,0.235294117647059,0.33753228431089,20.6831458670685,0.3,1,20.0419359559775,38.4791687716208,1.91993272786327,0.000448536940848183,1.1573431248086,0.792548606377906,151,-180028.395479675,-179333.014781591,"weak_concentration",4,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,51.7007628707767,0,0.324200009925842,90496.3017436313,TRUE,2,0.61,61,1,0.566666666666667,0.163934426229508,0.28169014084507,0.209882666625586,19.6099360848595,0.6,1,18.9519616707487,37.7413550967391,1.99142208877463,0.000161673843506881,3.09993056930319,0.312956043941226,73,-180488.337351897,-180152.15992832,"weak_concentration",4,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,51.7007628707767,0,0.306211876308368,90529.0649476587,TRUE,16,0.61,61,1,0.566666666666667,0.163934426229508,0.28169014084507,0.325670972383934,20.4721332565079,0.2,1,19.9559160178038,38.3396126483458,1.92121537363361,0.000421171241757272,1.37941477750974,0.739488319987693,123,-180208.475996003,-179642.040063126,"weak_concentration",4,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.925812409715923,NA,NA,0.376370409493329,90483.3543957477,TRUE,12,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.165336262349669,13.4334392779547,0.6,1,23.173443562666,35.7360676821726,1.5421129615689,0.000198062584521361,14.1259314282195,0.754615685206961,112,-180193.040200249,-179677.261139419,"weak_concentration",4,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.925812409715923,NA,NA,0.371465437485257,90465.0095899239,TRUE,18,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.17762170048565,19.1775710720795,0.9,1,19.7255126177922,38.2717148544486,1.94021395519667,9.96197063218302e-05,1.53115643366248,0.251376346072717,23,-180771.140808431,-180665.221894154,"weak_concentration",4,1000,100,10,1,20,40,20
"Rossi path BIC",61.5575814825738,NA,NA,NA,0.347451649969689,90737.476842824,TRUE,2,0.49,49,1,0.433333333333333,0.204081632653061,0.338983050847458,0.177072909644694,21.8616285537494,0.6,1,21.3133827857794,42.5152420649182,1.99476744223282,0.000122896715262829,4.02570849355785,0.346830298640957,65,-181025.949592514,-180726.613530425,"weak_concentration",5,1000,100,10,1,20,40,20
"Rossi path BIC + refit",61.5575814825738,NA,NA,NA,0.324229599331816,90770.1679743329,TRUE,9,0.49,49,1,0.433333333333333,0.204081632653061,0.338983050847458,0.322655696587443,23.0489122467736,0.2,1,21.7549003231044,42.6057410508235,1.95844340438438,0.000374797531633383,4.93478078398948,1.02322729155402,99,-180856.468176047,-180400.556327634,"weak_concentration",5,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,40.0250398660493,0,0.338069626939679,90758.3479208194,TRUE,3,0.72,72,1,0.688888888888889,0.138888888888889,0.24390243902439,0.215155807036386,22.2981672634757,0.4,1,21.7133507783492,43.0198440699555,1.98126233528413,0.000182796214686666,6.02751454825757,0.515226659254421,99,-180832.82806902,-180376.916220607,"weak_concentration",5,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,40.0250398660493,0,0.308453012844388,90784.982745142,TRUE,10,0.72,72,1,0.688888888888889,0.138888888888889,0.24390243902439,0.351273784369804,23.4169099041673,0.1,1,22.1185614635043,42.8863884089687,1.93893208108183,0.000440443656396639,6.40977036103711,1.21530032472486,145,-180568.340974831,-179900.591297863,"weak_concentration",5,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.97390593759688,NA,NA,0.378842531095133,90721.0966425705,TRUE,23,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.143719171380719,16.5754314681003,0.6,1,24.0146273678145,39.9806367497942,1.66484518528812,0.000184636320555501,8.05880391893169,0.351752640150831,114,-180654.709183337,-180129.719782134,"weak_concentration",5,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.97390593759688,NA,NA,0.398823418370156,90698.1148963218,TRUE,23,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.198463354971914,21.6163708305665,0.7,1,20.7760772659161,41.5903321291951,2.00183757486432,0.000118451187216867,1.56572610191101,0.345840883795883,27,-181209.720400111,-181085.380805089,"weak_concentration",5,1000,100,10,1,20,40,20
"Rossi path BIC",22.1636460507699,NA,NA,NA,0.271723994780715,90732.6221052754,TRUE,2,0.91,91,1,0.9,0.10989010989011,0.198019801980198,0.202545370754429,20.5010519394137,0.2,1,22.8917949051689,42.3975988084188,1.85208713358014,0.000170685655143719,7.055478909846,0.40277381541809,140,-180498.158471493,-179853.434645455,"weak_concentration",6,1000,100,10,1,20,40,20
"Rossi path BIC + refit",22.1636460507699,NA,NA,NA,0.257284116847595,90745.4688150063,TRUE,14,0.91,91,1,0.9,0.10989010989011,0.198019801980198,0.305224002144763,21.4457437980003,0.1,1,23.1938789477112,42.3858903269347,1.8274601856158,0.000342015311489794,7.94666769239684,0.922944055485136,183,-180226.818413959,-179384.072269923,"weak_concentration",6,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,22.1636419278352,0,0.271723994780715,90732.622109931,TRUE,2,0.91,91,1,0.9,0.10989010989011,0.198019801980198,0.20254538563597,20.5010522120389,0.2,1,22.8917951395557,42.3975991604387,1.85208712999436,0.000170685675840485,7.05548043164719,0.402773886558851,140,-180498.158480805,-179853.434654766,"weak_concentration",6,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,22.1636419278352,0,0.257284116847595,90745.4688150284,TRUE,14,0.91,91,1,0.9,0.10989010989011,0.198019801980198,0.305224001867423,21.4457439040405,0.1,1,23.1938790912679,42.3858905651422,1.82746018457515,0.000342015309046554,7.9466687192362,0.922944074814384,183,-180226.818414003,-179384.072269967,"weak_concentration",6,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.153124703734569,NA,NA,0.280150061735105,90741.434222871,TRUE,2,0.78,78,1,0.755555555555556,0.128205128205128,0.227272727272727,0.240514309493828,20.1618315279201,0.2,1,23.2842970549046,41.9909944526785,1.80340400028669,0.000252737285558683,7.37533302772577,0.569217846108814,179,-180246.380250804,-179422.054787512,"weak_concentration",6,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.153124703734569,NA,NA,0.261364044189854,90731.8711807166,TRUE,9,0.78,78,1,0.755555555555556,0.128205128205128,0.227272727272727,0.301866375128098,21.430769702789,0.1,1,23.1374464554741,42.3713686471734,1.83128975484452,0.000304412069978209,7.73347976088209,0.907026025272523,157,-180379.224782633,-179656.213063433,"weak_concentration",6,1000,100,10,1,20,40,20
"Rossi path BIC",68.6090009873245,NA,NA,NA,0.290972947648997,90686.3677532478,TRUE,2,0.54,54,1,0.488888888888889,0.185185185185185,0.3125,0.258122245840124,21.3942478705374,0.8,1,17.3985008860293,37.7445072072832,2.16941145990293,0.000247593355526331,5.92752268899378,0.322254958931899,65,-180923.731413362,-180624.395351273,"weak_concentration",7,1000,100,10,1,20,40,20
"Rossi path BIC + refit",68.6090009873245,NA,NA,NA,0.342774614263212,90724.8894384885,TRUE,23,0.54,54,1,0.488888888888889,0.185185185185185,0.3125,0.310913066310233,21.4138767047914,0.2,1,19.1789044328097,38.8396940172381,2.02512579137703,0.000417965013575358,1.01025395204628,0.587119458363586,109,-180696.833551568,-180194.870001295,"weak_concentration",7,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,68.6090009871848,0,0.290972947648997,90686.3677532479,TRUE,2,0.54,54,1,0.488888888888889,0.185185185185185,0.3125,0.258122245839097,21.3942478705296,0.8,1,17.3985008860454,37.7445072072983,2.16941145990178,0.000247593355524136,5.92752268891791,0.32225495893049,65,-180923.731413362,-180624.395351273,"weak_concentration",7,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,68.6090009871848,0,0.342774614263212,90724.8894384885,TRUE,23,0.54,54,1,0.488888888888889,0.185185185185185,0.3125,0.31091306631014,21.4138767047909,0.2,1,19.1789044328136,38.8396940172419,2.02512579137682,0.000417965013575091,1.01025395203872,0.587119458363577,109,-180696.833551568,-180194.870001295,"weak_concentration",7,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.83332314223052,NA,NA,0.386288629996943,90705.8194501718,TRUE,11,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.172048164813767,16.2615099063823,0.7,1,21.7427804694269,37.2496460462503,1.71319606977718,0.000247462078526455,5.30086531776142,0.359755797006435,112,-180637.970309098,-180122.191248267,"weak_concentration",7,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.83332314223052,NA,NA,0.376391914405609,90664.9159313249,TRUE,12,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.180969225693813,20.6522545272626,0.9,1,19.088769957658,39.1398831630595,2.0504141047264,0.000104399479013936,0.785070581627592,0.193692672555842,23,-181170.953491233,-181065.034576956,"weak_concentration",7,1000,100,10,1,20,40,20
"Rossi path BIC",21.8980525506387,NA,NA,NA,0.335735601168417,90584.9760509517,TRUE,2,0.84,84,1,0.822222222222222,0.119047619047619,0.212765957446808,0.222910973536339,21.3573639168859,0.3,1,20.2571587904682,40.6344935458359,2.00593251828367,0.000203414790083756,0.234356351611242,0.406895655693404,130,-180271.943915636,-179673.271791457,"weak_concentration",8,1000,100,10,1,20,40,20
"Rossi path BIC + refit",21.8980525506387,NA,NA,NA,0.321950234629515,90598.5839228922,TRUE,29,0.84,84,1,0.822222222222222,0.119047619047619,0.212765957446808,0.360356279914896,22.0767234355423,0.1,1,20.0264649836275,39.6305395673789,1.97890838946258,0.000483207880078217,0.0686007033154696,0.895616436971849,169,-180029.757203636,-179251.483442204,"weak_concentration",8,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,34.3430099814834,0,0.349813555261374,90572.2356115228,TRUE,2,0.68,68,1,0.644444444444444,0.147058823529412,0.256410256410256,0.183025897227294,21.125413911221,0.4,1,20.115835324845,40.5837554402206,2.01750286701222,0.000139990660473537,0.177094118234568,0.286131631668487,94,-180495.142226821,-180062.256229338,"weak_concentration",8,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,34.3430099814834,0,0.317414780836791,90592.8064612321,TRUE,20,0.68,68,1,0.644444444444444,0.147058823529412,0.256410256410256,0.330861651631213,21.9702152866658,0.1,1,20.0210750360516,39.9016696223549,1.99298337129773,0.000415741911907165,0.00505651015619985,0.775029727185773,137,-180239.250449244,-179608.342133763,"weak_concentration",8,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.93242387552725,NA,NA,0.352187699704449,90539.3939312778,TRUE,12,0.1,10,1,0,1,1,0.124576776263836,15.3708047287886,0.6,1,22.5788514181255,37.5159094414795,1.66155083563564,0.000153112539459049,6.41059026984954,0.358158101181909,111,-180312.027026588,-179800.853135944,"weak_concentration",8,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.93242387552725,NA,NA,0.373917340125756,90516.7830808032,TRUE,7,0.1,10,1,0,1,1,0.108629435365241,20.406587474782,1,1,19.8165920744579,39.9927363708964,2.01814399875769,3.86804483217813e-05,0.0168456137297146,0.0891842257395529,21,-180888.503300748,-180791.794726842,"weak_concentration",8,1000,100,10,1,20,40,20
"Rossi path BIC",67.9954435133355,NA,NA,NA,0.359343825771115,90687.1348199692,TRUE,2,0.4,40,1,0.333333333333333,0.25,0.4,0.114522684276786,20.1220340982945,0.7,1,21.4537177990174,41.2849983263571,1.92437500637992,4.52822049665311e-05,1.88225806896029,0.133476527778748,54,-181001.250854873,-180752.57166483,"weak_concentration",9,1000,100,10,1,20,40,20
"Rossi path BIC + refit",67.9954435133355,NA,NA,NA,0.328801408796213,90714.864389649,TRUE,11,0.4,40,1,0.333333333333333,0.25,0.4,0.229881372162758,20.747275009982,0.1,1,21.6199809909177,41.2000137468083,1.9056452345687,0.000210760829135318,2.03218570173189,0.470320011329092,81,-180870.2006017,-180497.181816635,"weak_concentration",9,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,71.6118737831752,0,0.37146035874052,90684.3017424493,TRUE,2,0.38,38,1,0.311111111111111,0.263157894736842,0.416666666666667,0.113552430496543,20.0439243074343,0.7,1,21.2411560208447,41.0029559244754,1.93035425587185,4.36006697913168e-05,1.27319442725969,0.127277225256533,51,-181016.30796567,-180781.444286185,"weak_concentration",9,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,71.6118737831752,0,0.333415939509863,90712.4483485304,TRUE,9,0.38,38,1,0.311111111111111,0.263157894736842,0.416666666666667,0.221237575869569,20.65284403671,0.2,1,21.4787539000829,41.0587160737809,1.9115967464771,0.000198719727206886,1.65379641094621,0.432784567799073,77,-180892.999540579,-180538.401436258,"weak_concentration",9,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.82067228189247,NA,NA,0.324142602554872,90691.067733553,TRUE,39,0.12,12,1,0.0222222222222222,0.833333333333333,0.909090909090909,0.114352307514043,15.4047210586857,0.7,1,24.5940939892702,39.5799665780803,1.60932810110216,0.000130644862508363,10.6410638288891,0.364626327154363,113,-180601.559120581,-180081.174889564,"weak_concentration",9,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.82067228189247,NA,NA,0.356940549578561,90670.4348943705,TRUE,24,0.12,12,1,0.0222222222222222,0.833333333333333,0.909090909090909,0.124227134389062,19.9902898535585,0.8,1,21.5739325454245,41.2179823081125,1.9105456189467,4.33116283220087e-05,1.98037228021084,0.158028101271099,25,-181168.175906766,-181053.046652117,"weak_concentration",9,1000,100,10,1,20,40,20
"Rossi path BIC",121.35583794219,NA,NA,NA,0.34040719202963,90800.8759028466,TRUE,3,0.22,22,1,0.133333333333333,0.454545454545455,0.625,0.206862470185214,21.8330936634612,0.8,1,18.8484063970838,39.93103204303,2.11853624130304,0.000149657561650229,0.665462202683089,0.271410889931777,33,-181373.795881487,-181221.825265349,"weak_concentration",10,1000,100,10,1,20,40,20
"Rossi path BIC + refit",121.35583794219,NA,NA,NA,0.338065180448464,90820.7597393632,TRUE,15,0.22,22,1,0.133333333333333,0.454545454545455,0.625,0.171110258697571,21.8205045506605,0.5,1,19.5990100502844,40.8752598940713,2.0855777811838,0.000120894941761302,0.463436410971274,0.29592678297832,45,-181330.670491172,-181123.437832803,"weak_concentration",10,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,121.355837942154,0,0.34040719202963,90800.8759028466,TRUE,3,0.22,22,1,0.133333333333333,0.454545454545455,0.625,0.206862470185494,21.8330936634624,0.8,1,18.8484063970791,39.9310320430247,2.11853624130329,0.000149657561650657,0.665462202688899,0.271410889932241,33,-181373.795881487,-181221.825265349,"weak_concentration",10,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,121.355837942154,0,0.338065180448464,90820.7597393632,TRUE,15,0.22,22,1,0.133333333333333,0.454545454545455,0.625,0.171110258697595,21.8205045506604,0.5,1,19.5990100502831,40.8752598940698,2.08557778118387,0.000120894941761324,0.463436410970546,0.295926782978332,45,-181330.670491172,-181123.437832803,"weak_concentration",10,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.963188956695121,NA,NA,0.361769693372302,90817.5956375446,TRUE,8,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.12974511610018,16.4057238089314,0.7,1,22.4302159970639,38.3880664239845,1.71144434939946,0.000170704262019982,4.25213982293575,0.267716695337997,112,-180861.522683843,-180345.743623013,"weak_concentration",10,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.963188956695121,NA,NA,0.34274027980708,90792.1549217037,TRUE,6,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.141298502122679,21.4454428683332,0.9,1,19.7248208187005,40.792391037779,2.06807409875709,6.36445942547415e-05,0.351803569286595,0.156311533551469,23,-181425.431471991,-181319.512557713,"weak_concentration",10,1000,100,10,1,20,40,20
"Rossi path BIC",50.690093408872,NA,NA,NA,0.41673274670308,90678.2493554584,TRUE,2,0.56,56,1,0.511111111111111,0.178571428571429,0.303030303030303,0.124377782097183,20.3205762424842,0.6,1,20.5008284650056,40.5028426053737,1.97566857722413,6.94272878344159e-05,0.251839918569417,0.152974305687565,75,-180838.417064993,-180493.029301044,"weak_concentration",11,1000,100,10,1,20,40,20
"Rossi path BIC + refit",50.690093408872,NA,NA,NA,0.38130531726755,90704.5897891908,TRUE,14,0.56,56,1,0.511111111111111,0.178571428571429,0.303030303030303,0.266737210307012,20.9856170982641,0.1,1,20.7781459499759,40.2929972223081,1.93920079872935,0.000294977943288382,0.345679245872052,0.574012295352855,113,-180628.603231857,-180108.21900084,"weak_concentration",11,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,50.6900933925861,0,0.41673274670308,90678.2493554716,TRUE,2,0.56,56,1,0.511111111111111,0.178571428571429,0.303030303030303,0.124377782113137,20.3205762426357,0.6,1,20.5008284655389,40.5028426059655,1.97566857720161,6.94272878560549e-05,0.251839919134089,0.152974305733377,75,-180838.41706502,-180493.02930107,"weak_concentration",11,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,50.6900933925861,0,0.38130531726755,90704.5897891907,TRUE,14,0.56,56,1,0.511111111111111,0.178571428571429,0.303030303030303,0.266737210302462,20.9856170983041,0.1,1,20.7781459501451,40.2929972225508,1.93920079872523,0.000294977943279281,0.345679246074812,0.57401229535013,113,-180628.603231856,-180108.21900084,"weak_concentration",11,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.0245293258562319,NA,NA,0.299602744869707,90723.2974336767,TRUE,2,0.97,97,1,0.966666666666667,0.103092783505155,0.186915887850467,0.391269395045882,21.1293139526344,0.1,1,20.1385266878233,38.2626170025936,1.89997101554251,0.00059346081590203,1.5188446614581,0.97579695235872,198,-180078.859322115,-179167.035625289,"weak_concentration",11,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.0245293258562319,NA,NA,0.304007123877567,90722.7137885113,TRUE,3,0.97,97,1,0.966666666666667,0.103092783505155,0.186915887850467,0.402644515493755,21.3391142407245,0.1,1,20.1463252973262,38.3178674756703,1.90197799897314,0.000617753302135691,1.42549046102265,1.03497958560058,195,-180098.415297621,-179200.407111353,"weak_concentration",11,1000,100,10,1,20,40,20
"Rossi path BIC",61.7216182302777,NA,NA,NA,0.342741141284842,90462.7132514925,TRUE,2,0.55,55,1,0.5,0.181818181818182,0.307692307692308,0.222089342389111,19.2183904023179,0.7,1,21.4550683061523,39.5517844996733,1.84347045347471,0.000165248762816778,1.15906045515097,0.470613067124623,66,-180469.514654572,-180165.573422297,"weak_concentration",12,1000,100,10,1,20,40,20
"Rossi path BIC + refit",61.7216182302777,NA,NA,NA,0.2844413050295,90506.908342268,TRUE,12,0.55,55,1,0.5,0.181818181818182,0.307692307692308,0.376845011644084,20.733058589382,0.3,0.9,21.9076133604679,39.4340130265247,1.80001410366695,0.000499104340910667,1.97966499358959,1.22170050821849,111,-180247.055848569,-179735.881957924,"weak_concentration",12,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,63.1010080231761,0,0.342740337087265,90461.1351145154,TRUE,2,0.54,54,1,0.488888888888889,0.185185185185185,0.3125,0.222505409156953,19.186293402343,0.7,1,21.3687261760138,39.4351038307572,1.84545880301573,0.000164820556843196,1.09625951346525,0.46706478743682,65,-180473.266135897,-180173.930073808,"weak_concentration",12,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,63.1010080231761,0,0.29089140424521,90506.5027702803,TRUE,12,0.54,54,1,0.488888888888889,0.185185185185185,0.3125,0.37774416980806,20.7214172486639,0.3,0.9,21.867599931744,39.3751619435118,1.80061653159993,0.000500908398620904,1.93917605094306,1.2198847942275,109,-180260.060215151,-179758.096664879,"weak_concentration",12,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.798439393353915,NA,NA,0.304019071432501,90462.4513700753,TRUE,14,0.14,14,1,0.0444444444444444,0.714285714285714,0.833333333333333,0.205231471039748,14.2187771705308,0.7,1,24.298347145019,37.1120683528475,1.52734949959159,0.000243840886633586,13.4079686888591,0.898834368940724,115,-180130.510883068,-179600.916311679,"weak_concentration",12,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.798439393353915,NA,NA,0.338062726874581,90437.2959033095,TRUE,25,0.14,14,1,0.0444444444444444,0.714285714285714,0.833333333333333,0.256176014659565,19.1306090567508,0.6,1,21.3456024374569,38.9910107985254,1.82665309694444,0.00019342957412673,1.41435256419115,0.585666330060425,29,-180674.266903529,-180540.716968135,"weak_concentration",12,1000,100,10,1,20,40,20
"Rossi path BIC",80.2491149766389,NA,NA,NA,0.326520892065836,90690.0862960246,TRUE,2,0.35,35,1,0.277777777777778,0.285714285714286,0.444444444444444,0.160103531593241,19.2543854693648,0.8,1,20.1823702018338,38.906777359505,1.9277605638197,8.68938104056019e-05,0.614197316103834,0.233053070971963,46,-181062.415849216,-180850.578020661,"weak_concentration",13,1000,100,10,1,20,40,20
"Rossi path BIC + refit",80.2491149766389,NA,NA,NA,0.288740027772593,90717.6047208662,TRUE,9,0.35,35,1,0.277777777777778,0.285714285714286,0.444444444444444,0.274314300263697,20.100030565141,0.3,1,20.6496747349743,39.1737393766328,1.89706326513145,0.000254605297183523,0.55239193949552,0.668371434098849,71,-180944.758816925,-180617.791733719,"weak_concentration",13,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC",NA,NA,37.8563335484757,0,0.306222530876418,90732.9486811234,TRUE,2,0.73,73,1,0.7,0.136986301369863,0.240963855421687,0.19632091060815,19.7595231013852,0.4,1,21.7968402870433,40.6719712863278,1.86595720988534,0.00015764103907283,1.8400902133954,0.397497797289851,96,-180802.752855464,-180360.65651761,"weak_concentration",13,1000,100,10,1,20,40,20
"Separate 2D path/grid BIC + refit",NA,NA,37.8563335484757,0,0.265524600721914,90760.0736440361,TRUE,27,0.73,73,1,0.7,0.136986301369863,0.240963855421687,0.382825689066048,21.0568466240269,0,1,21.7843966962059,39.5888486142039,1.81730296075167,0.000535798550584912,1.67655851573623,1.1752975107043,147,-180504.707262062,-179827.747244722,"weak_concentration",13,1000,100,10,1,20,40,20
"Eta path BIC",NA,0.717289048914776,NA,NA,0.328811688849563,90711.5139972014,TRUE,14,0.16,16,1,0.0666666666666667,0.625,0.769230769230769,0.150142551213076,14.873168988688,0.7,1,22.982218539455,37.1928540604147,1.61833175489839,0.000193234086672354,8.38684787159989,0.507854581828102,117,-180614.820626762,-180076.015715001,"weak_concentration",13,1000,100,10,1,20,40,20
"Eta path BIC + refit",NA,0.717289048914776,NA,NA,0.30401321325868,90686.0726785228,TRUE,11,0.16,16,1,0.0666666666666667,0.625,0.769230769230769,0.248184467075858,19.5741319938593,0.4,1,20.8235820320939,39.0727038579488,1.87636804262248,0.000173116945455642,0.769082749325497,0.535306202285614,33,-181144.189432839,-180992.218816701,"weak_concentration",13,1000,100,10,1,20,40,20
"Rossi path BIC",105.593953994426,NA,NA,NA,0.391242694967965,90393.4492734364,TRUE,2,0.22,22,1,0.133333333333333,0.454545454545455,0.625,0.16336741959493,21.0286549174584,0.7,1,19.8224277503457,40.337404351483,2.03493764030895,8.54444828289322e-05,0.0726868001234892,0.20605691523306,33,-180558.942622666,-180406.972006529,"weak_concentration",14,1000,100,10,1,20,40,20
"Rossi path BIC + refit",105.593953994426,NA,NA,NA,0.381250536524508,90415.7266465706,TRUE,13,0.22,22,1,0.133333333333333,0.454545454545455,0.625,0.192795197594215,21.5317732314013,0.3,1,20.3154187054293,41.1137665206753,2.02377155582265,0.000150195737951623,0.66998241115589,0.375533713856521,45,-180520.604305587,-180313.371647218,"weak_concentration",14,1000,100,10,1,20,40,20
