"K","kappa_model","valid_bootstrap_reps","pairwise_stability_mean","pairwise_stability_sd","pairwise_stability_min","reference_ARI_mean","OOB_NLL_mean","OOB_NLL_sd","OOB_NLL_se","min_cluster_prop_mean","failure_count"
2,"shared",10,0.988111248121491,0.00458367027695916,0.978183210867815,0.992533480977933,-4845.07491711888,1.27695691136623,0.403809231381105,0.379556412729026,0
2,"free",10,0.561292982264101,0.405950866738511,0.18024044661154,0.670398685266173,-4846.61653489377,1.62546416531822,0.514016901739004,0.357891353262617,0
3,"shared",10,0.995404078363753,0.00169453069129582,0.991080825609571,0.997385317011743,-4868.45691497294,1.29058096316867,0.408117534846688,0.261973641915783,0
3,"free",10,0.992227599071369,0.00345315920398721,0.982595205575778,0.994518996166472,-4869.56526845615,1.32842034345631,0.420083397542509,0.264673738347798,0
4,"shared",10,0.919277317935442,0.13203199712409,0.656181670355854,0.956164287232768,-4880.03020859672,2.60517813660407,0.823829662214212,0.151462552234008,0
4,"free",10,0.987876070218353,0.00355058919277322,0.980124277775402,0.991746779081105,-4884.31494472746,2.08866209732147,0.66049294900001,0.137126325940212,0
5,"shared",10,0.827489535898619,0.0768117389006889,0.695659546095892,0.882249476325575,-4887.66707892037,2.04649105906267,0.647157295780822,0.111796849887496,0
5,"free",10,0.805581900324628,0.0674813063294835,0.704219256047328,0.832160803545572,-4892.39183316831,2.60786328071755,0.824678779338652,0.0990035358405657,0
6,"shared",10,0.759862751705795,0.112709399767795,0.554344114347186,0.785281737276982,-4894.28695506769,2.17866932739534,0.688955734291634,0.0803600128576021,0
6,"free",10,0.831555030546386,0.111338316257219,0.609635411884188,0.894419944935379,-4900.35608828303,2.49909221939488,0.790282349609303,0.0676309868209579,0
7,"shared",10,0.74760203908817,0.0939658334242978,0.587866467998615,0.816375752075658,-4900.5880827287,3.01674194777418,0.953977566793912,0.0727740276438444,0
7,"free",10,0.804810550041749,0.109125494617793,0.652015249663717,0.871319143074079,-4907.03409664059,1.90373518721859,0.602013925341781,0.0612664738026358,0
8,"shared",10,0.770134691363731,0.0837175984092389,0.609655224804687,0.832537160089057,-4906.54801662529,3.75949971713676,1.18885819689109,0.0625522340083574,0
8,"free",10,0.695563086984284,0.0840735210526607,0.554223097819533,0.764808096900537,-4910.68085481472,3.16453047120959,1.00071240140282,0.0589521054323369,0
9,"shared",10,0.730517494112157,0.0771253816524908,0.590089038997362,0.794130526258431,-4910.43643595526,3.13969697044503,0.992859358933664,0.0560591449694632,0
9,"free",10,0.740495516068757,0.0665129535800902,0.597425398684965,0.795039862102867,-4916.6358810561,3.05909937139011,0.967372160238209,0.0496946319511411,0
10,"shared",10,0.719945785238487,0.0514696499952379,0.606649975331485,0.743618163920258,-4913.68938857064,3.12101918566626,0.986952924778933,0.0502410800385728,0
10,"free",10,0.699289715397066,0.0571529247741282,0.602529308763556,0.738201331556521,-4919.24813261698,3.13327298327021,0.990827915820453,0.0483124397299904,0
