"scenario","method","reps","valid_reps","zero_support_reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","objective","n_decrease","min_objective_diff","line_search_halving","lambda","weight_min","weight_max","common_selection_rate","specific_selection_rate","noise_selection_rate","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","kappa_true_min","kappa_true_max","kappa_true_ratio","target_angle_deg","mu_pairwise_angle_mean","mu_pairwise_angle_min","mu_pairwise_angle_max"
"S1_eta_first_ablation","M-L BIC",20,20,0,4,NA,0.0467282638487063,NA,NA,0.850872805604246,247560.06842251,247559.37936312,2,16,40.65,1,0.133967391304348,0.398622873362688,0.568466344806451,NA,NA,NA,NA,0.000188693505763543,5.36153277346274,0.176025281457581,47.0305325785165,103,-494408.638051285,-493862.91136253,247559.37936312,1,-5.51517587155104e-08,25,0.0467282638487063,NA,NA,1,1,0.114722222222222,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","M-L BIC + refit",20,20,0,4,NA,0.0467282638487063,NA,NA,0.853040516449486,247715.906528698,NA,5.2,16,40.65,1,0.133967391304348,0.398622873362688,0.568466344806451,NA,NA,NA,NA,0.000201474467028458,1.56424959114831,0.231996306587147,45.6253027301351,165.6,-494287.888783197,-493410.487427297,NA,NA,NA,NA,0.0467282638487063,NA,NA,1,1,0.114722222222222,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","M-GL BIC",20,20,0,4,NA,0.0929986659775483,NA,NA,0.856070847986803,247615.445013057,247614.621969169,2,16,20,1,0.0217391304347826,0.8,0.888888888888889,NA,NA,NA,NA,6.99866908096129e-05,4.59315707215744,0.101955305953263,46.8525912473395,83,-494657.546337959,-494217.785996536,247614.621969169,0,0.000910859463328961,19,0.0929986659775483,NA,NA,1,1,0,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","M-GL BIC + refit",20,20,0,4,NA,0.0929986659775483,NA,NA,0.858697993022275,247627.406798593,NA,3.1,16,20,1,0.0217391304347826,0.8,0.888888888888889,NA,NA,NA,NA,5.4303203751547e-05,1.17362347767365,0.0718149038342433,45.0177253157738,83,-494681.469909031,-494241.709567608,NA,NA,NA,NA,0.0929986659775483,NA,NA,1,1,0,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","M-AGL BIC",20,20,0,4,NA,0.216415135313664,NA,NA,0.85804807646358,247619.064437195,247618.871532411,2.15,16,20,1,0.0217391304347826,0.8,0.888888888888889,NA,NA,NA,NA,5.93159226348142e-05,4.64080151990327,0.0927551268571346,46.8653183403711,83,-494664.785186235,-494225.024844811,247618.871532411,0,0.00715214706433471,3.8,0.216415135313664,0.08418764470391,6.02250619542078,1,1,0,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","M-AGL BIC + refit",20,20,0,4,NA,0.216415135313664,NA,NA,0.858696149726573,247627.407665815,NA,3.05,16,20,1,0.0217391304347826,0.8,0.888888888888889,NA,NA,NA,NA,5.42550024173866e-05,1.17151932262622,0.0717669163395497,45.0168457007854,83,-494681.471643474,-494241.711302051,NA,NA,NA,NA,0.216415135313664,0.08418764470391,6.02250619542078,1,1,0,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","M-CGL BIC",20,20,0,4,NA,0.0739230746817451,NA,NA,0.859451509662666,247548.155799053,247547.649463959,2.65,16,21,1,0.0271739130434783,0.764024091850179,0.865658046710678,NA,NA,NA,NA,0.000115583248127192,4.23077358028343,0.11996504609623,46.7209460392644,87,-494495.336888835,-494034.383277945,247547.649463959,0.9,0.000533937245199922,24.05,0.0739230746817451,NA,NA,1,1,0.00555555555555556,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","M-CGL BIC + refit",20,20,0,4,NA,0.0739230746817451,NA,NA,0.856687679339531,247634.486570593,NA,4.2,16,21,1,0.0271739130434783,0.764024091850179,0.865658046710678,NA,NA,NA,NA,6.68588099865573e-05,1.19322005580657,0.0874498554759515,45.0503517809263,87,-494667.998431916,-494207.044821026,NA,NA,NA,NA,0.0739230746817451,NA,NA,1,1,0.00555555555555556,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","E-L BIC",20,20,0,4,NA,NA,NA,1.87187201738759,0.850304401405276,247492.530677352,246436.959930154,2,16,43.65,1,0.150271739130435,0.377726720697668,0.54516811145079,NA,NA,NA,NA,0.000167595255390288,55.394801433005,0.326357111333982,37.659793071032,106.3,-494250.766968548,-493687.555832484,246436.959930154,0.35,-8.82282620295882e-09,24.85,1.87187201738759,NA,NA,1,1,0.131388888888889,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
"S1_eta_first_ablation","E-L BIC + refit",20,20,0,4,NA,NA,NA,1.87187201738759,0.853357952417533,247731.829832568,NA,5.45,16,43.65,1,0.150271739130435,0.377726720697668,0.54516811145079,NA,NA,NA,NA,0.000196271139968696,1.50361923582881,0.254287234235357,45.6210328716291,177.6,-494236.842327588,-493295.861163289,NA,NA,NA,NA,1.87187201738759,NA,NA,1,1,0.131388888888889,10.5,1000,200,4,4,4,NA,64,30,60,2,90,89.9975318287595,80.6453289297795,97.8913698078102
