"scenario","reps","K4_selection_rate","successful_reps","support_exact_rate","exact_shortlist_fallback_reps","exact_invalid_candidate_total","selected_q_mean","selected_q_sd","selected_q_mcse","common_q_selected_mean","common_q_selected_sd","common_q_selected_mcse","decision_q_selected_mean","decision_q_selected_sd","decision_q_selected_mcse","noise_q_selected_mean","noise_q_selected_sd","noise_q_selected_mcse","TPR_mean","TPR_sd","TPR_mcse","FPR_mean","FPR_sd","FPR_mcse","Precision_mean","Precision_sd","Precision_mcse","F1_mean","F1_sd","F1_mcse","ARI_mean","ARI_sd","ARI_mcse","MSE_centered_eta_mean","MSE_centered_eta_sd","MSE_centered_eta_mcse","MSE_kappa_mean","MSE_kappa_sd","MSE_kappa_mcse","test_NLL_mean","test_NLL_sd","test_NLL_mcse","method_elapsed_sec_mean","method_elapsed_sec_sd","method_elapsed_sec_mcse","dense_loglik_abs_diff_mean","dense_loglik_abs_diff_sd","dense_loglik_abs_diff_mcse","dense_test_NLL_abs_diff_mean","dense_test_NLL_abs_diff_sd","dense_test_NLL_abs_diff_mcse"
"equal",20,1,20,0.95,0,0,16.05,0.223606797749979,0.05,0,0,0,16,0,0,0.05,0.223606797749979,0.05,1,0,0,0.000271739130434783,0.00121525433559771,0.000271739130434783,0.997058823529412,0.0131533410441164,0.00294117647058824,0.998484848484849,0.00677596356818118,0.00151515151515151,0.861087785190268,0.0155167193027185,0.00346964391486618,0.0604881561386494,0.0111110003157626,0.00248449520040669,1.3750035121828,0.791247230253821,0.176928259385597,-247.308794182804,0.0313161281036609,0.00700249912318773,5.288,0.256834986959169,0.0574300489840973,2.92493496090174e-10,1.71395565961381e-10,3.83252136531697e-11,2.54374299402116e-13,1.57160272319871e-13,3.51421052269609e-14
"heterogeneous",20,1,20,0.95,0,0,16.05,0.223606797749979,0.05,0,0,0,16,0,0,0.05,0.223606797749979,0.05,1,0,0,0.000271739130434783,0.00121525433559771,0.000271739130434783,0.997058823529412,0.0131533410441164,0.00294117647058824,0.998484848484849,0.00677596356818118,0.00151515151515151,0.86943426129111,0.0217562273147277,0.00486484032096688,0.0602753508638156,0.0123047772103468,0.00275143182903257,1.35478810213209,0.673456824527039,0.150589523955361,-247.492913060018,0.0483229937806591,0.0108053498969853,5.485,0.343166370576628,0.0767343332201224,2.22644302994013e-10,1.57799048207537e-10,3.5284939857682e-11,2.51532128459075e-13,1.28858097711537e-13,2.88135465934307e-14
