"scenario","method","reps","valid_reps","error_reps","zero_support_refit_reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","penalty_group","penalty_adaptive","common_false_selection_rate","decision_selection_rate","noise_false_selection_rate","objective","n_decrease","min_objective_diff","line_search_halving","adaptive_penalty","adaptive_gamma","adaptive_eps","adaptive_weight_min","adaptive_weight_median","adaptive_weight_max","rep","n","d","K_true","common_q","decision_q","decision_q_per_component","noise_q","true_q","target_angle_deg","mu_pairwise_angle_mean","mu_pairwise_angle_min","mu_pairwise_angle_max","kappa_true_min","kappa_true_max","kappa_true_mean","kappa_true_ratio","common_eta_value"
"S6N_dense_decision_small_angle_equal_kappa","D-L",50,50,0,0,4,18.2617595897099,NA,NA,NA,0.0115231047164985,248852.778213163,NA,0.96,37.24,80,197.56,0.98875,0.987166666666667,0.400502706857413,0.569808402729581,NA,NA,NA,NA,0.00197290009290543,165.36851490627,5.14147591129205,53.8835809128856,793.24,-492226.048628826,-488023.211360986,0,0,1,0.98875,0.986724137931035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,1000,200,4,4,80,20,116,80,30,30,30,30,45,45,45,1,21.3396701122441
"S6N_dense_decision_small_angle_equal_kappa","D-GL",50,50,0,0,4,NA,0.0519037014849698,NA,NA,0.000691738637546719,248234.218610202,NA,0.82,55.24,80,15.82,0.06225,0.0903333333333333,0.207539727016146,0.135329385423664,NA,NA,NA,NA,0.000985752631448895,97.9654247151079,2.41804490754149,48.3671768700545,66.28,-496010.591200512,-495659.418725457,1,0,1,0.06225,0.0589655172413793,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,80,20,116,80,30,30,30,30,45,45,45,1,21.3396701122441
"S6N_dense_decision_small_angle_equal_kappa","D-AGL",50,50,0,0,4,NA,0.117707099518986,NA,NA,0.00168150808707365,248209.264154538,NA,0.96,33.28,80,10.96,0.03825,0.0658333333333333,0.162863169215015,0.108214846038028,NA,NA,NA,NA,0.000840378106082154,119.271301410659,2.2601741448986,47.9025512889228,46.84,-496094.969051808,-495846.795866359,1,1,1,0.03825,0.0336206896551724,NA,NA,NA,NA,1,1,1e-06,0.0828909763567221,1,5.35277767415334,25.5,1000,200,4,4,80,20,116,80,30,30,30,30,45,45,45,1,21.3396701122441
"S6N_dense_decision_small_angle_equal_kappa","E-L",50,50,0,0,4,NA,NA,NA,0.40349269583352,0.0108758506203448,248599.071451603,NA,0.94,34,80,187.38,0.943,0.932833333333333,0.403035214159179,0.563777418025706,NA,NA,NA,NA,0.00229133638166883,125.598997584035,4.96375296239069,52.7001445313446,752.52,-491999.918900666,-488012.829115992,0,0,0.945,0.943,0.932413793103448,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,80,20,116,80,30,30,30,30,45,45,45,1,21.3396701122441
"S6N_dense_decision_small_angle_equal_kappa","E-GL",50,0,0,0,4,NA,NA,NA,1.46307494079285,NA,NA,NA,NA,NA,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,248269.495988449,0,0.00227092804503627,0,0,NA,NA,NA,NA,NA,25.5,1000,200,4,4,80,20,116,80,30,30,30,30,45,45,45,1,21.3396701122441
"S6N_dense_decision_small_angle_equal_kappa","E-AGL",50,3,0,0,4,NA,NA,NA,2.78360581235864,0.00531032593302206,244432.245999244,NA,1,14.3333333333333,80,2.04,0.011,0.00966666666666667,0.806666666666667,0.17201646090535,NA,NA,NA,NA,0.00868565173253989,1155.24350683522,1.98610905852773,14.5343514395085,141.666666666667,-487885.893333966,-487135.298373705,1,1,0.005,0.011,0.00982758620689655,248271.747912802,0,0.00356588535199061,0,1,1,1e-06,0.396939970152298,1,8.11850560631963,25.5,1000,200,4,4,80,20,116,80,30,30,30,30,45,45,45,1,21.3396701122441
