"method","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","common_selection_rate","specific_selection_rate","noise_selection_rate","scenario","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"Rossi path BIC",4,44.7318206192884,NA,NA,NA,0.573334576176924,97706.210205586,97119.2864721311,TRUE,2,22,93,1,0.91025641025641,0.236559139784946,0.382608695652174,1,0.475,0.18957345971564,0.318725099601594,0.000114969332778016,1.59727954345532,0.279256237584021,58.5593626665622,214,-193934.16078147,-192948.654361668,1,1,0.91025641025641,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Rossi path BIC + refit",4,44.7318206192884,NA,NA,NA,0.499137951148523,97775.7474137321,NA,TRUE,23,22,93,1,0.91025641025641,0.236559139784946,0.382608695652174,NA,NA,NA,NA,0.000406355338724375,3.20746899643682,0.799999411998299,59.1417711417268,375,-192961.086597846,-191234.1477781,1,1,0.91025641025641,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Separate 2D path/grid BIC",4,NA,59.1185020664412,1.53291628424069,NA,0.527037664675116,97665.465936688,96587.7887985981,TRUE,3,22,84,1,0.794871794871795,0.261904761904762,0.415094339622642,1,0.344444444444444,0.24390243902439,0.392156862745098,0.000141506512786035,6.14127866665886,0.253540809464774,55.1820311454491,167,-194177.336741786,-193408.273320726,1,1,0.794871794871795,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Separate 2D path/grid BIC + refit",4,NA,59.1185020664412,1.53291628424069,NA,0.508724728449861,97764.5295466049,NA,TRUE,33,22,84,1,0.794871794871795,0.261904761904762,0.415094339622642,NA,NA,NA,NA,0.000397562380837953,2.7183847151686,0.770841294989455,58.9508956109058,339,-193187.330053635,-191626.177360585,1,1,0.794871794871795,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Eta centered path BIC",4,NA,NA,NA,1.54834493331012,0.466105464360241,97589.3861815917,97170.0466394273,TRUE,5,22,64,1,0.538461538461538,0.34375,0.511627906976744,NA,NA,NA,NA,0.000874832828017534,130.12146931206,2.4320065497371,64.7074665807945,295,-193140.984555884,-191782.459351017,1,1,0.538461538461538,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Eta centered path BIC + refit",4,NA,NA,NA,1.54834493331012,0.471908192790974,97717.1975691731,NA,TRUE,16,22,64,1,0.538461538461538,0.34375,0.511627906976744,NA,NA,NA,NA,0.00130146999709734,153.986922182224,4.17470476927065,65.6897840195291,259,-193645.28652109,-192452.547442919,1,1,0.538461538461538,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Rossi path BIC",4,11.166170746197,NA,NA,NA,0.546024816511825,97705.2773998213,97531.7460163231,TRUE,2,22,100,1,1,0.22,0.360655737704918,1,0.85,0.115606936416185,0.207253886010363,0.000312552238129637,0.771036492705127,0.587808687297815,58.1666559659222,349,-192999.748207278,-191392.543812368,1,1,1,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Rossi path BIC + refit",4,11.166170746197,NA,NA,NA,0.539627592424403,97712.8216267934,NA,TRUE,17,22,100,1,1,0.22,0.360655737704918,NA,NA,NA,NA,0.000449417026389682,0.382914469563599,0.785763919183961,57.8436966372985,403,-192641.817876157,-190785.934291204,1,1,1,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Separate 2D path/grid BIC",4,NA,28.5744708926981,3.13927332766197,NA,0.523160492781699,97628.7077227545,96583.5939991531,TRUE,2,22,99,1,0.987179487179487,0.222222222222222,0.363636363636364,1,0.544444444444444,0.169491525423729,0.289855072463768,0.000206722726537004,30.076719115677,0.309101981489565,52.066565342896,239,-193606.461933832,-192505.826259381,1,1,0.987179487179487,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
"Separate 2D path/grid BIC + refit",4,NA,28.5744708926981,3.13927332766197,NA,0.540166796346751,97711.7045059231,NA,TRUE,28,22,99,1,0.987179487179487,0.222222222222222,0.363636363636364,NA,NA,NA,NA,0.000489157089550122,0.956328489904721,0.774854580724327,57.510971981518,399,-192667.214655532,-190829.751751323,1,1,0.987179487179487,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.35,40,0.924499229583975,30,90,3
