"scenario","method","reps","valid_reps","zero_support_refit_reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","objective","n_decrease","min_objective_diff","line_search_halving","official_baseline","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"strong_common_specific","Rossi natural-group diagnostic BIC",20,20,0,4,NA,NA,NA,1.77166261633011,0.634308582927174,97273.0918378516,96556.7063931026,2.15,22,34.3,1,0.157692307692308,0.70412712668485,0.80872769376682,NA,NA,NA,NA,0.000147108735334799,28.2172702155867,0.294447124947301,52.5456906212093,140.2,-193577.71638559,-192932.071525514,96556.7063931026,0,0.00252844038259354,7.1,0,10.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"strong_common_specific","Rossi natural-group diagnostic BIC + refit",20,20,0,4,NA,NA,NA,1.77166261633011,0.677578934461754,97383.7522716729,NA,20.9,22,34.3,1,0.157692307692308,0.70412712668485,0.80872769376682,NA,NA,NA,NA,0.000143504121984923,2.0439175974856,0.24025547143849,57.9921106826787,140.2,-193799.037253232,-193153.392393157,NA,NA,NA,NA,0,10.5,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
