"phase","cell_id","method","planned_reps","completed_reps","valid_reps","error_reps","missing_reps","completion_rate","support_target","selector","selected_q","selected_q_sd","selected_eta_only_q","selected_eta_only_q_sd","selected_mu_only_q","selected_mu_only_q_sd","selected_both_q","selected_both_q_sd","selected_null_q","selected_null_q_sd","TPR_P","TPR_P_sd","FPR_P","FPR_P_sd","Precision_P","Precision_P_sd","F1_P","F1_P_sd","TPR_mu","TPR_mu_sd","FPR_mu","FPR_mu_sd","Precision_mu","Precision_mu_sd","F1_mu","F1_mu_sd","TPR_eta","TPR_eta_sd","FPR_eta","FPR_eta_sd","Precision_eta","Precision_eta_sd","F1_eta","F1_eta_sd","exact_P","exact_P_sd","exact_mu","exact_mu_sd","exact_eta","exact_eta_sd","ARI","ARI_sd","NMI","NMI_sd","classification_error","classification_error_sd","Bayes_excess_error","Bayes_excess_error_sd","test_NLL","test_NLL_sd","MSE_mu","MSE_mu_sd","MSE_kappa","MSE_kappa_sd","MSE_eta","MSE_eta_sd","train_loglik","train_loglik_sd","converged","converged_sd","iter","iter_sd","elapsed_sec","elapsed_sec_sd","elapsed_sec_median","elapsed_sec_total"
"core","C_eb050_equal_n600","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.02,0.14070529413629,0,0,0,0,16,0,0.02,0.14070529413629,0.8,0,0.000111111111111111,0.000781696078534943,0.998823529411765,0.00827678200801709,0.888408408408409,0.00338030736663758,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,0,0,0.98,0.14070529413629,0.98,0.14070529413629,0.863645169326581,0.00763468318931395,0.810132002216894,0.00875249290798994,0.052994,0.00307934861274067,0.002044,0.00307934861274067,-247.23645380979,0.0461234739293113,0.000209460866645036,1.876059887013e-05,2.85163631832514,1.84733189659001,0.0971222670724546,0.0214924468014564,148600.717076909,75.7001194891633,1,0,3.32,0.489897948556636,27.4866,2.93628612400429,27.7400000000001,2748.66
"core","C_eb050_equal_n600","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16.02,0.14070529413629,0,0,0,0,16,0,0.02,0.14070529413629,0.8,0,0.000111111111111111,0.000781696078534943,0.998823529411765,0.00827678200801709,0.888408408408409,0.00338030736663758,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,1,0,0.000108695652173913,0.000764702685523313,0.998823529411765,0.00827678200801709,0.999393939393939,0.00426379679200874,0,0,0.98,0.14070529413629,0.98,0.14070529413629,0.86364082323628,0.00765153018986567,0.810127330978239,0.00877075816421094,0.052996,0.00308623270723909,0.002046,0.00308623270723909,-247.236474694092,0.046125329656607,0.000209444554517929,1.87626697154632e-05,2.84722146263472,1.84666598790504,0.097066612972993,0.0214897104835061,148600.717015928,75.7001179688179,1,0,4.75,0.672324476737388,31.4692,2.92279397256472,30.3050000000001,3146.92
"core","C_eb050_equal_n600","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.88,0.32659863237109,0,0,0,0,16,0,183.88,0.32659863237109,1,0,0.999333333333333,0.0018144368465062,0.100060301507538,0.000164119915764344,0.181917808219178,0.000271148719278554,1,0,0.999347826086956,0.0017749925672343,0.0800482412060302,0.000131295932611507,0.148230835486649,0.000225046430574578,1,0,0.999347826086956,0.0017749925672343,0.0800482412060302,0.000131295932611507,0.148230835486649,0.000225046430574578,0,0,0,0,0,0,0.80828703410173,0.00974044828600679,0.74902677710514,0.0102992668010722,0.075672,0.00404505134751592,0.024722,0.00404505134751593,-246.738453447298,0.053753724914016,0.000703184366450224,3.55829421180896e-05,17.2831370979846,5.72084204375636,1.2686534039852,0.0716626971827211,148885.232697058,79.2854384563903,1,0,8.7,2.05234529553904,16.7365,2.33198765308511,16.415,1673.65
"core","C_eb050_equal_n600","Spherical k-means",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806726647860702,0.00999807017800259,0.746316918410551,0.0106924742355861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,16.08,5.91467956388462,0.148499999999986,0.0247971568914518,0.1400000000001,14.8499999999986
"core","C_eb050_heterogeneous_n2000","Dense-free",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854876077318614,0.00798339755244724,0.817084714473276,0.00842005547492557,0.057786,0.00329508418678185,0.007431,0.00329508418678185,-247.431189627665,0.0535020238598183,0.00026906727184105,1.4690642032907e-05,2.02233219630835,0.808364099092616,0.358087384296688,0.0218074247977159,495671.763016989,163.244551138144,1,0,11.19,2.38554146491066,7.34809999999999,2.04784769744215,6.81499999999994,734.809999999999
"core","C_eb050_heterogeneous_n2000","Dense-shared",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788778622081495,0.0101882559540578,0.75907689818209,0.00894317452641483,0.087294,0.00446240909705676,0.036939,0.00446240909705676,-247.217888452138,0.0529457112157874,0.00029355056289552,1.76393636945389e-05,126.424693405099,0.929838091271516,0.831689608238728,0.0300666714576742,495297.237580437,160.280054347583,1,0,15.36,6.25311235637216,2.15849999999997,0.269763738755759,2.10499999999979,215.849999999997
"core","C_eb050_heterogeneous_n2000","E-ACGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16,0,0,0,0,0,16,0,0,0,0.8,0,0,0,1,0,0.888888888888889,0,0.8,0,0,0,1,0,0.888888888888889,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.87079882425991,0.00778811699497426,0.833386990969726,0.00841211445397403,0.051058,0.00322168097160912,0.000703000000000003,0.00322168097160912,-247.572084152116,0.0521929957075651,7.93249923925396e-05,7.16291789375657e-06,0.576979285805383,0.356726951662751,0.0278301149093988,0.00610675063859564,495396.404364598,162.751927876911,1,0,3.02,0.14070529413629,53.1249,2.04333580255918,53.2050000000002,5312.49
"core","C_eb050_heterogeneous_n2000","E-CGL",100,100,100,0,0,1,"S_eta","BIC-after-refit",16,0,0,0,0,0,16,0,0,0,0.8,0,0,0,1,0,0.888888888888889,0,0.8,0,0,0,1,0,0.888888888888889,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.870819160937283,0.00778292905895932,0.833411344057177,0.00841670595010562,0.051052,0.00322009097054506,0.000697000000000003,0.00322009097054506,-247.572083477772,0.0521893786972054,7.92985619430105e-05,7.15387911937511e-06,0.5805935313115,0.35835327946263,0.0278211188671018,0.00609318023746664,495396.40268803,162.752047238672,1,0,6.93,0.685418105828829,59.6459,1.72183957006754,59.4599999999998,5964.59
"core","C_eb050_heterogeneous_n2000","M-L",100,100,100,0,0,1,"S_P","BIC-after-refit",199.24,0.78005438815819,0,0,4,0,16,0,179.24,0.78005438815819,1,0,0.995777777777778,0.00433363548976776,0.100382977029433,0.000394101390496915,0.182450750636929,0.000650788196417906,1,0,0.995777777777778,0.00433363548976776,0.100382977029433,0.000394101390496915,0.182450750636929,0.000650788196417906,1,0,0.995869565217391,0.00423942602259884,0.0803063816235461,0.00031528111239754,0.148673188802371,0.000540186767007857,0,0,0,0,0,0,0.85520973079647,0.00795690116530495,0.817470790263574,0.00836944663682369,0.057636,0.00328219931192978,0.007281,0.00328219931192978,-247.43402635455,0.0535870453436916,0.000263513086918059,1.42356197460906e-05,1.9841917923661,0.790966740695486,0.350544866180016,0.0215281046556961,495667.239021862,163.196874705636,1,0,5.1,0.438085827115181,59.1594,2.96381607003029,58.8750000000002,5915.94
"core","C_eb050_heterogeneous_n2000","Spherical k-means",100,100,100,0,0,1,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.800093986757111,0.00960629057357786,0.76681295731933,0.00894417477783308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,15.65,5.74434284731289,0.458900000000014,0.0689296962876014,0.449999999999903,45.8900000000014
