"lambda_eta","iterations","converged","n_decrease","min_objective_diff","first_objective","last_objective","final_loglik","final_penalty","active_q","has_decrease"
0,2,TRUE,0,0.00132604542159243,29307.4301491005,29307.4314751459,29307.4314751459,435.847701042418,100,FALSE
0.4196900811,13,TRUE,0,0.00202856948089902,29137.7910643981,29139.3101845452,29301.5857515787,386.65571177697,97,FALSE
2.5457109593,33,TRUE,22,-0.0480249664578878,28666.8577382701,28758.4243482925,29109.4651240512,137.894985475953,27,TRUE
3.9433010378,16,TRUE,0,0,28644.7281929248,28909.3666207369,28909.3666207369,0,0,FALSE
14.8299403237,2,TRUE,0,0,28909.3666207369,28909.3666207369,28909.3666207369,0,0,FALSE
