"scenario","method","reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","common_selection_rate","specific_selection_rate","noise_selection_rate","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"specific_effect_common6_specific4","Rossi path BIC",100,4,33.4947233612746,NA,NA,NA,0.562942095339158,96843.8150118721,96371.2244442728,2,22,97.58,1,0.968974358974359,0.22560824649934,0.368118992874246,1,0.622805555555556,0.155780631681565,0.26862519896145,0.000133595156142271,2.83179678811679,0.319857472158602,56.0979643753798,267.21,-191841.808735647,-190611.26121025,1,1,0.968974358974359,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"specific_effect_common6_specific4","Rossi path BIC + refit",100,4,33.4947233612746,NA,NA,NA,0.527496679562137,96880.8409946233,NA,14.92,22,97.58,1,0.968974358974359,0.22560824649934,0.368118992874246,NA,NA,NA,NA,0.000281933603123233,3.5634716110175,0.661341784792109,56.2332955244873,393.32,-191044.723682917,-189233.418145364,1,1,0.968974358974359,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"specific_effect_common6_specific4","Separate 2D path/grid BIC",100,4,NA,70.0443959417967,2.21076936992917,NA,0.567342058440902,96753.3996983035,95411.268303556,2.02,22,78.15,1,0.719871794871795,0.294313719522891,0.450274128826606,1,0.295555555555556,0.302491910425558,0.455145379894411,6.99862823138181e-05,11.633113665968,0.175890792723991,53.194013537459,149.4,-192474.780757927,-191786.76833214,1,1,0.719871794871795,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"specific_effect_common6_specific4","Separate 2D path/grid BIC + refit",100,4,NA,70.0443959417967,2.21076936992917,NA,0.538385112118455,96858.1375726055,NA,16.29,22,78.15,1,0.719871794871795,0.294313719522891,0.450274128826606,NA,NA,NA,NA,0.000242504072532329,2.98510848336793,0.568783599921586,56.034689089731,315.6,-191536.187579164,-190082.795868466,1,1,0.719871794871795,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"specific_effect_common6_specific4","Eta centered path BIC",100,4,NA,NA,NA,1.60176504600279,0.564115683944793,96686.668702029,96443.810063522,11.48,22,23.98,1,0.0253846153846154,0.921342877279309,0.958070764945842,NA,NA,NA,NA,0.000174934568271711,7.34189996651577,0.354874193999442,54.5350306743445,174.94,-192164.894695553,-191359.266223216,1,1,0.0253846153846154,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
"specific_effect_common6_specific4","Eta centered path BIC + refit",100,4,NA,NA,NA,1.60176504600279,0.575156667194756,96729.7581493475,NA,15.78,22,23.98,1,0.0253846153846154,0.921342877279309,0.958070764945842,NA,NA,NA,NA,7.43711651723765e-05,1.8040069435337,0.181245029009312,55.4895048851453,98.92,-192776.201146498,-192320.6577117,1,1,0.0253846153846154,50.5,1000,100,4,6,4,0.5,40,0.857142857142857,40,70,1.75
