"K","selector","selected_q","support_prop","train_NLL_per_doc","test_NLL_per_doc","train_ARI","test_ARI","train_NMI","test_NMI","test_purity","test_homogeneity","test_completeness","train_min_cluster_n","train_min_cluster_prop","test_min_cluster_n","test_min_cluster_prop","normalized_entropy","mean_component_NPMI","train_cluster_size","test_cluster_size","selected_q_recomputed","support_count_identical","train_tau_row_sum_error","test_tau_row_sum_error","converged","labels_used_for_selection"
3,"exact BIC after refit",1347,0.6735,-4871.95843183671,-4872.29415858919,0.970110286528364,0.992682684699668,0.944120227022379,0.986286946270588,0.997432605905006,0.986677784405049,0.98589641764743,828,0.266152362584378,209,0.268292682926829,0.000810723283849119,0.379624106878974,"1113;1170;828","280;290;209",1347,TRUE,4.51971793324901e-13,4.44311254454988e-13,TRUE,FALSE
7,"exact BIC after refit",1105,0.5525,-4912.06692729774,-4905.82632932738,0.556994633396676,0.585180340886276,0.698898364001462,0.73366215963763,0.99614890885751,0.980512927008257,0.586106004989443,171,0.0549662487945998,40,0.0513478818998716,0.000384378174445609,0.443744609179938,"541;617;304;171;253;404;821","145;162;76;40;65;85;206",1105,TRUE,4.52082815627364e-13,4.54525306281539e-13,TRUE,FALSE
8,"exact BIC after refit",1063,0.5315,-4917.66484040021,-4910.60188373232,0.472646922631256,0.492684220410864,0.668685606071567,0.693236171894111,0.99614890885751,0.980367902814268,0.536194625944343,171,0.0549662487945998,39,0.0500641848523748,0.000220447279120766,0.459924410133419,"213;302;407;171;317;580;498;623","59;77;85;39;80;151;126;162",1063,TRUE,4.51416681812589e-13,4.52970994047064e-13,TRUE,FALSE
10,"exact BIC after refit",980,0.49,-4926.22735991982,-4917.54640018966,0.387960246782705,0.398189912075076,0.618549949546068,0.638337701154434,0.992297817715019,0.971846666809624,0.475247014481761,148,0.0475731276117004,37,0.0474967907573813,0.00023204890258794,0.439502793946129,"552;330;406;223;213;148;484;319;240;196","147;78;85;56;59;37;123;79;60;55",980,TRUE,4.54081217071689e-13,4.41868763800812e-13,TRUE,FALSE
