"scenario","method","reps","valid_reps","zero_support_refit_reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","objective","n_decrease","min_objective_diff","line_search_halving","official_baseline","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"strong_common_specific","Rossi natural-group diagnostic BIC",5,5,0,4,NA,NA,NA,1.84143842656046,0.643359461973738,97277.5235580168,96537.610991743,2.4,22,33,1,0.141025641025641,0.732171945701357,0.828425458061954,NA,NA,NA,NA,0.000142558477743281,30.0379353167684,0.300784369329487,52.379351032387,135,-193622.500153371,-193000.802178263,96537.610991743,0,0.00178038934245706,7.4,0,3,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"strong_common_specific","Rossi natural-group diagnostic BIC + refit",5,5,0,4,NA,NA,NA,1.84143842656046,0.683603306593476,97390.0119947278,NA,23.2,22,33,1,0.141025641025641,0.732171945701357,0.828425458061954,NA,NA,NA,NA,0.00012090411179039,1.88431387090504,0.210471105903483,58.1723131839199,135,-193847.477026793,-193225.779051685,NA,NA,NA,NA,0,3,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
